Modelo_Auto,Ano_Auto,ID_Modelo,Pais_Venta,Continente_Venta,Marca_Auto,Segmento_Auto,Es_Electrico,Tipo_Transmision,Es_Nuevo,Unidades_Vendidas,Total_Ventas
Corolla,2018,S2604-17,Alemania,Europa,Toyota,Compacto,No,Manual,No,4587,35902603.7
Sprinter,2021,J6907-33,Argentina,América,Mercedes-Benz,Comercial,No,Automático,No,416,65454974.5
F-150,2016,B7710-35,Argentina,América,Ford,Pickup Grande,No,Manual,No,111,38046183.8
Golf,2023,Z4856-57,Argentina,América,Volkswagen,Compacto,No,Automático,Sí,3900,53056360.52
Camry,2020,O2887-99,Francia,Europa,Toyota,Sedan Mediano,No,Automático,No,1916,27040343.12
Kona,2020,Q5102-91,Estados Unidos,América,Hyundai,SUV Subcompacto,No,Manual,No,4794,209780619.63
Focus,2017,X5965-29,México,América,Ford,Compacto,No,Automático,No,4244,89663889.62
Silverado,2016,O5121-99,México,América,Chevrolet,Pickup Grande,No,Manual,No,3765,107572726.5
CR-V,2022,D2260-21,Australia,Oceanía,Honda,SUV Compacto,Sí,Manual,No,792,79316175.12
Kona,2022,I4817-16,China,Asia,Hyundai,SUV Subcompacto,No,Automático,No,129,235779334.35
F-150,2021,L5021-16,Canadá,América,Ford,Pickup Grande,No,Manual,No,1868,70832611.82
Silverado,2019,P7320-70,Argentina,América,Chevrolet,Pickup Grande,No,Manual,No,1423,193034212.93
Civic,2023,Y4266-44,Canadá,América,Honda,Compacto,No,Manual,No,294,35911125.38
Civic,2021,Q3753-48,Argentina,América,Honda,Compacto,No,Automático,No,4650,194008503.71
C-Class,2022,F2438-96,Francia,Europa,Mercedes-Benz,Sedan Premium,No,Automático,No,1110,142017734.59
Corolla,2015,Q8047-31,Reino Unido,Europa,Toyota,Compacto,Sí,Manual,No,2312,247128964.89
Tucson,2024,L6191-98,España,Europa,Hyundai,SUV Compacto,No,Automático,Sí,4982,127773449.74
Golf,2020,A8034-27,Corea del Sur,Asia,Volkswagen,Compacto,No,Automático,No,2914,95584650.03
Kona,2019,C2584-63,Italia,Europa,Hyundai,SUV Subcompacto,No,Automático,No,2126,36786554.85
Cherokee,2020,P7465-66,Sudáfrica,África,Jeep,SUV Mediano,No,Automático,No,565,12285880.03
F-150,2023,G3152-70,Alemania,Europa,Ford,Pickup Grande,No,Manual,Sí,4374,63524534.42
Fusion,2020,F2293-99,Australia,Oceanía,Ford,Sedan,No,Manual,No,853,138638994.5
Kona,2021,B2661-83,Australia,Oceanía,Hyundai,SUV Subcompacto,No,Automático,No,2696,180520811.68
Cherokee,2018,X9235-78,Estados Unidos,América,Jeep,SUV Mediano,No,Automático,No,2131,21887272.21
Mustang,2022,E8670-35,España,Europa,Ford,Deportivo,No,Manual,No,1211,201731397.15
Mustang,2023,M7368-43,Brasil,América,Ford,Deportivo,No,Manual,Sí,4156,81407721.99
Silverado,2021,M7183-15,India,Asia,Chevrolet,Pickup Grande,No,Automático,No,3865,11440697.6
Fusion,2024,Y8880-95,Estados Unidos,América,Ford,Sedan,No,Manual,Sí,3329,244380152.08
Focus,2022,F2271-85,Japón,Asia,Ford,Compacto,No,Automático,No,4193,75282122.75
RAV4,2022,Z6561-35,Sudáfrica,África,Toyota,SUV Compacto,No,Manual,No,3709,36375527.32
Silverado,2024,B8196-23,China,Asia,Chevrolet,Pickup Grande,No,Automático,Sí,1487,43020284.19
Focus,2019,H2695-39,Corea del Sur,Asia,Ford,Compacto,No,Automático,No,2204,223034111.89
Silverado,2021,B8057-54,Reino Unido,Europa,Chevrolet,Pickup Grande,No,Automático,No,509,217025949.23
Mustang,2015,K7975-44,Argentina,América,Ford,Deportivo,No,Manual,No,1193,150344253.29
Focus,2019,D3683-68,Argentina,América,Ford,Compacto,No,Automático,No,800,105761649.15
Cherokee,2023,R9579-30,Italia,Europa,Jeep,SUV Mediano,No,Manual,No,3005,92431926.38
Golf,2015,G3703-17,Reino Unido,Europa,Volkswagen,Compacto,No,Automático,No,4066,74156324.05
Cherokee,2015,B5971-85,China,Asia,Jeep,SUV Mediano,No,Automático,No,2163,135579472.73
Kona,2020,P2379-52,España,Europa,Hyundai,SUV Subcompacto,No,Automático,No,4644,66053346.61
3 Series,2016,N3091-20,Brasil,América,BMW,Sedan Premium,No,Manual,No,4734,185295518.04
Corolla,2022,Z3726-63,Estados Unidos,América,Toyota,Compacto,No,Manual,No,1544,243000409.98
Silverado,2023,E9956-17,Canadá,América,Chevrolet,Pickup Grande,No,Manual,Sí,161,9427493.37
Cherokee,2023,S8710-43,India,Asia,Jeep,SUV Mediano,No,Automático,Sí,2121,9098060.51
C-Class,2021,A1676-73,Corea del Sur,Asia,Mercedes-Benz,Sedan Premium,No,Automático,No,4600,38446612.49
C-Class,2017,S8281-65,Reino Unido,Europa,Mercedes-Benz,Sedan Premium,No,Automático,No,2785,148791382.24
Silverado,2023,U4027-20,Alemania,Europa,Chevrolet,Pickup Grande,No,Automático,Sí,1857,8241724.2
Tucson,2024,Q3089-51,Reino Unido,Europa,Hyundai,SUV Compacto,No,Manual,Sí,3545,148247956.35
Focus,2023,R4113-24,Japón,Asia,Ford,Compacto,No,Automático,Sí,3603,156902965.48
Silverado,2024,X4717-98,Japón,Asia,Chevrolet,Pickup Grande,No,Manual,No,2197,51420881.84
Corolla,2021,J2570-19,Francia,Europa,Toyota,Compacto,No,Manual,No,2015,118856562.9
3 Series,2016,K2058-41,India,Asia,BMW,Sedan Premium,No,Automático,No,4367,132963588.78
Civic,2024,A7351-41,Australia,Oceanía,Honda,Compacto,No,Manual,Sí,946,230435166.28
CX-5,2021,O2467-88,Canadá,América,Mazda,SUV Compacto,No,Manual,No,4982,97385870.23
Model 3,2024,V5858-72,México,América,Tesla,Sedan,Sí,Automático,Sí,4863,22720570.79
Cherokee,2017,G5420-74,España,Europa,Jeep,SUV Mediano,No,Automático,No,4588,234360847.34
Kona,2023,R4851-48,China,Asia,Hyundai,SUV Subcompacto,Sí,Manual,Sí,4829,223046930.03
Silverado,2022,O2784-71,Corea del Sur,Asia,Chevrolet,Pickup Grande,No,Automático,No,1843,35002133.76
Fusion,2023,D5492-31,España,Europa,Ford,Sedan,No,Automático,Sí,350,95414205.51
Focus,2016,K3209-34,España,Europa,Ford,Compacto,No,Manual,No,2239,248645806.19
CR-V,2019,J6397-48,Argentina,América,Honda,SUV Compacto,No,Automático,No,4948,63142308.92
Civic,2019,Z6055-96,China,Asia,Honda,Compacto,No,Manual,No,686,198249903.34
Tucson,2017,K4285-58,Japón,Asia,Hyundai,SUV Compacto,No,Automático,No,2464,12842110.57
C-Class,2018,W9272-31,Alemania,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,3382,242813969.52
F-150,2016,I9730-48,Reino Unido,Europa,Ford,Pickup Grande,No,Manual,No,998,77186420.33
Mustang,2016,D4229-27,Sudáfrica,África,Ford,Deportivo,No,Automático,No,1084,55155557.13
Q5,2024,Y7652-67,India,Asia,Audi,SUV Premium,No,Manual,Sí,2590,159419603.61
Corolla,2022,S2352-24,Estados Unidos,América,Toyota,Compacto,No,Manual,No,1490,144430140.46
Camry,2016,Z6646-13,Francia,Europa,Toyota,Sedan Mediano,No,Manual,No,2235,146229168.16
RAV4,2022,G2779-86,China,Asia,Toyota,SUV Compacto,Sí,Manual,No,3848,90524746.12
Tucson,2017,W1015-24,India,Asia,Hyundai,SUV Compacto,No,Automático,No,3736,226318754.71
Camry,2022,C1322-40,Sudáfrica,África,Toyota,Sedan Mediano,No,Manual,No,3128,26067876.79
CR-V,2018,T8038-21,India,Asia,Honda,SUV Compacto,No,Manual,No,1807,69915033.16
Cherokee,2017,L1313-88,Estados Unidos,América,Jeep,SUV Mediano,No,Automático,No,3470,82895084.14
Mustang,2021,Y3877-45,Italia,Europa,Ford,Deportivo,No,Automático,No,2126,141068319.1
CR-V,2023,K1099-29,Canadá,América,Honda,SUV Compacto,No,Manual,Sí,2766,120933434.73
CX-5,2023,Y4798-77,Italia,Europa,Mazda,SUV Compacto,No,Manual,Sí,683,76024872.48
3 Series,2017,J2203-28,Brasil,América,BMW,Sedan Premium,No,Manual,No,481,46105635.95
Q5,2018,Z7012-66,Australia,Oceanía,Audi,SUV Premium,No,Automático,No,3178,143776750.25
Focus,2017,Z2454-46,Japón,Asia,Ford,Compacto,Sí,Automático,No,608,119770635.03
F-150,2019,R9084-25,España,Europa,Ford,Pickup Grande,No,Manual,No,3504,96188107.61
Sprinter,2015,K8971-82,Alemania,Europa,Mercedes-Benz,Comercial,No,Automático,No,972,188302944.21
RAV4,2018,D7542-93,Canadá,América,Toyota,SUV Compacto,Sí,Manual,No,4676,135153066.2
Fusion,2022,K8891-74,Corea del Sur,Asia,Ford,Sedan,No,Automático,No,753,175506470.67
Tucson,2024,L6543-72,Brasil,América,Hyundai,SUV Compacto,No,Automático,Sí,1390,4969364.42
Q5,2021,Q9819-93,Sudáfrica,África,Audi,SUV Premium,No,Automático,No,644,196965607.6
Camry,2016,H6528-95,Corea del Sur,Asia,Toyota,Sedan Mediano,Sí,Manual,No,4853,81247990.45
Mustang,2016,J5197-38,China,Asia,Ford,Deportivo,No,Automático,No,2638,215703471.66
CX-5,2017,E4028-35,Brasil,América,Mazda,SUV Compacto,No,Automático,No,449,63704379.46
C-Class,2022,T3885-67,India,Asia,Mercedes-Benz,Sedan Premium,No,Manual,No,3114,75745127.87
Kona,2018,Q9801-47,Italia,Europa,Hyundai,SUV Subcompacto,No,Manual,No,1933,52555258.88
Silverado,2017,Z9736-93,Italia,Europa,Chevrolet,Pickup Grande,No,Automático,No,4265,138831076.98
RAV4,2024,P7782-32,España,Europa,Toyota,SUV Compacto,No,Automático,Sí,3323,183218379.12
Silverado,2021,M7203-68,Japón,Asia,Chevrolet,Pickup Grande,No,Manual,No,3518,166608980.95
C-Class,2023,W7874-15,Australia,Oceanía,Mercedes-Benz,Sedan Premium,Sí,Manual,Sí,3240,150135653.61
Kona,2017,F9262-26,Estados Unidos,América,Hyundai,SUV Subcompacto,Sí,Automático,No,4065,149787776.19
Mustang,2020,Q3471-89,Sudáfrica,África,Ford,Deportivo,No,Automático,No,3973,110420403.09
Q5,2016,E8996-79,Brasil,América,Audi,SUV Premium,Sí,Automático,No,559,220655063.54
Sprinter,2024,K8295-71,Brasil,América,Mercedes-Benz,Comercial,No,Automático,Sí,2868,187888004.78
F-150,2024,V8912-32,España,Europa,Ford,Pickup Grande,No,Automático,Sí,3857,233214539.68
Corolla,2018,T8565-85,Australia,Oceanía,Toyota,Compacto,No,Automático,No,2279,162907809.72
Tucson,2021,S9313-47,Japón,Asia,Hyundai,SUV Compacto,No,Manual,No,2425,144987818.02
Kona,2021,B2654-59,Italia,Europa,Hyundai,SUV Subcompacto,No,Automático,No,1557,212096577.17
Fusion,2019,R1784-42,Argentina,América,Ford,Sedan,No,Manual,No,2956,92673689.3
Q5,2015,O2229-50,Reino Unido,Europa,Audi,SUV Premium,No,Automático,No,4345,93699425.82
Q5,2021,H1459-87,Brasil,América,Audi,SUV Premium,No,Automático,No,3320,204447826.24
Tucson,2017,V4313-21,Canadá,América,Hyundai,SUV Compacto,No,Automático,No,2309,207645551.68
F-150,2019,F9119-19,Japón,Asia,Ford,Pickup Grande,No,Automático,No,3102,191131730.71
Civic,2015,P3901-29,Australia,Oceanía,Honda,Compacto,No,Automático,No,1778,133410448.31
CX-5,2017,H7225-33,India,Asia,Mazda,SUV Compacto,No,Manual,No,713,209719410.69
Fusion,2024,S1545-95,China,Asia,Ford,Sedan,No,Automático,Sí,4113,96590988.77
C-Class,2023,E4137-67,Australia,Oceanía,Mercedes-Benz,Sedan Premium,No,Manual,Sí,2343,155284640.36
Cherokee,2016,Q5115-53,Brasil,América,Jeep,SUV Mediano,No,Manual,No,393,148018570.9
Focus,2023,U7747-62,China,Asia,Ford,Compacto,No,Automático,Sí,1729,132812708.7
Camry,2024,R1147-76,Corea del Sur,Asia,Toyota,Sedan Mediano,No,Manual,Sí,3430,54959155.39
Cherokee,2016,I9297-22,Francia,Europa,Jeep,SUV Mediano,No,Manual,No,813,232727695.7
3 Series,2022,Y2139-22,Sudáfrica,África,BMW,Sedan Premium,No,Automático,No,833,93754914.91
Mustang,2019,C7436-56,México,América,Ford,Deportivo,No,Automático,No,4614,158346006.22
Kona,2023,N8558-78,Corea del Sur,Asia,Hyundai,SUV Subcompacto,No,Automático,Sí,3470,122029449.58
Mustang,2024,I4595-69,España,Europa,Ford,Deportivo,No,Automático,Sí,3871,29133470.24
Sprinter,2015,Y2495-36,Alemania,Europa,Mercedes-Benz,Comercial,No,Automático,No,2514,226085767.33
Fusion,2024,V1353-73,Argentina,América,Ford,Sedan,No,Manual,Sí,1405,73591019.96
Kona,2023,S7208-84,India,Asia,Hyundai,SUV Subcompacto,No,Manual,Sí,4207,3116790.13
Fusion,2021,J6948-35,México,América,Ford,Sedan,No,Automático,No,131,121724324.6
Civic,2020,E4402-89,Canadá,América,Honda,Compacto,No,Manual,No,1267,139382967.15
Fusion,2023,Q1721-81,México,América,Ford,Sedan,No,Automático,Sí,452,30260310.87
Focus,2022,D5228-58,Brasil,América,Ford,Compacto,No,Manual,No,62,129198485.72
Cherokee,2022,J4636-14,Japón,Asia,Jeep,SUV Mediano,No,Manual,No,2238,62288336.69
Camry,2018,N8429-49,Estados Unidos,América,Toyota,Sedan Mediano,No,Automático,No,4514,34434717.42
Sprinter,2018,J6709-41,Canadá,América,Mercedes-Benz,Comercial,No,Automático,No,4691,59555763.99
Fusion,2016,O1420-15,Japón,Asia,Ford,Sedan,No,Manual,No,178,34243312.81
Golf,2018,K6760-27,Brasil,América,Volkswagen,Compacto,No,Automático,No,3061,9282457.06
Cherokee,2017,N6791-68,Canadá,América,Jeep,SUV Mediano,No,Manual,No,4445,191960482.22
Sprinter,2022,M5188-49,Sudáfrica,África,Mercedes-Benz,Comercial,No,Automático,No,3429,59468803.21
Corolla,2019,E9474-70,Italia,Europa,Toyota,Compacto,No,Automático,No,3636,218263158.4
Silverado,2018,V1899-58,Sudáfrica,África,Chevrolet,Pickup Grande,No,Automático,No,3372,223598659.24
Camry,2020,D1807-40,España,Europa,Toyota,Sedan Mediano,No,Automático,No,2950,36378406.84
F-150,2019,M3754-75,India,Asia,Ford,Pickup Grande,No,Manual,No,1127,177403204.27
CR-V,2021,G9018-78,China,Asia,Honda,SUV Compacto,No,Manual,No,302,162349640.74
3 Series,2020,H1821-94,Japón,Asia,BMW,Sedan Premium,No,Automático,No,1216,195878033.92
Golf,2023,F8746-48,Sudáfrica,África,Volkswagen,Compacto,No,Manual,Sí,704,2932674.13
Q5,2019,W3205-22,Japón,Asia,Audi,SUV Premium,Sí,Automático,No,3675,59114929.2
Fusion,2019,A5720-19,Japón,Asia,Ford,Sedan,No,Automático,No,2945,38094133.5
CR-V,2022,S8014-51,China,Asia,Honda,SUV Compacto,No,Manual,No,1886,89527719.65
Tucson,2019,A3549-68,España,Europa,Hyundai,SUV Compacto,No,Manual,No,3614,248275619.36
CX-5,2022,A2415-46,España,Europa,Mazda,SUV Compacto,No,Manual,No,3349,141232880.38
Mustang,2016,E7737-67,Alemania,Europa,Ford,Deportivo,No,Manual,No,3616,104627007.21
CX-5,2015,M5834-15,Japón,Asia,Mazda,SUV Compacto,No,Automático,No,2096,55447021.38
Cherokee,2017,V3491-32,Estados Unidos,América,Jeep,SUV Mediano,No,Manual,No,628,163659992.89
Silverado,2020,J4974-27,Corea del Sur,Asia,Chevrolet,Pickup Grande,No,Automático,No,3242,50388358.92
Mustang,2024,D6433-68,Estados Unidos,América,Ford,Deportivo,No,Automático,Sí,4810,228207415.94
Corolla,2018,W1710-65,Italia,Europa,Toyota,Compacto,No,Manual,No,1105,23708921.5
Kona,2022,K4145-99,México,América,Hyundai,SUV Subcompacto,Sí,Manual,No,2615,43606926.03
Kona,2015,S9743-93,México,América,Hyundai,SUV Subcompacto,Sí,Manual,No,3502,42991486.8
Civic,2016,B8129-54,Canadá,América,Honda,Compacto,No,Automático,No,662,56143950.35
Tucson,2022,G7115-83,Francia,Europa,Hyundai,SUV Compacto,No,Manual,No,642,211322901.52
F-150,2021,K7059-85,Reino Unido,Europa,Ford,Pickup Grande,No,Manual,No,1735,148762308.02
F-150,2017,X3903-26,España,Europa,Ford,Pickup Grande,No,Manual,No,1609,32592788.62
F-150,2016,B9131-55,España,Europa,Ford,Pickup Grande,No,Automático,No,4355,152857924.82
Corolla,2021,T5067-74,Italia,Europa,Toyota,Compacto,No,Manual,No,4485,229402357.86
Mustang,2022,R4875-34,México,América,Ford,Deportivo,No,Manual,No,2851,248045895.7
CR-V,2016,N3744-32,Australia,Oceanía,Honda,SUV Compacto,No,Manual,No,2146,50476042.92
CX-5,2023,H7742-97,España,Europa,Mazda,SUV Compacto,No,Automático,Sí,3120,248261308.56
Mustang,2020,P2679-95,Canadá,América,Ford,Deportivo,No,Manual,No,2362,191354933.03
Corolla,2018,C3686-68,España,Europa,Toyota,Compacto,No,Automático,No,434,49854445.83
Cherokee,2015,J6512-82,Corea del Sur,Asia,Jeep,SUV Mediano,No,Automático,No,4460,196613960.94
Silverado,2019,Y4089-56,Japón,Asia,Chevrolet,Pickup Grande,No,Automático,No,4675,139938948.54
Model 3,2024,X5710-22,Canadá,América,Tesla,Sedan,Sí,Manual,Sí,3819,148946453.82
RAV4,2016,E8053-50,Brasil,América,Toyota,SUV Compacto,Sí,Manual,No,1900,12828370.07
Mustang,2020,S4489-63,Japón,Asia,Ford,Deportivo,No,Automático,No,977,68399515.45
Camry,2020,A9157-93,Corea del Sur,Asia,Toyota,Sedan Mediano,Sí,Manual,No,2218,249293846.39
Cherokee,2023,U4229-20,Canadá,América,Jeep,SUV Mediano,No,Automático,Sí,3303,78522761.0
Silverado,2018,L8217-92,Sudáfrica,África,Chevrolet,Pickup Grande,No,Automático,No,4854,155989305.9
C-Class,2017,Q7774-86,Australia,Oceanía,Mercedes-Benz,Sedan Premium,No,Automático,No,4050,80783936.66
Corolla,2021,V8765-30,China,Asia,Toyota,Compacto,No,Manual,No,1921,149421253.44
Cherokee,2017,H7039-44,Australia,Oceanía,Jeep,SUV Mediano,No,Manual,No,828,46792527.87
Tucson,2019,C5972-45,Canadá,América,Hyundai,SUV Compacto,No,Manual,No,224,215534453.46
Mustang,2022,B8685-76,China,Asia,Ford,Deportivo,No,Manual,No,242,193888187.57
Model 3,2017,G5144-51,Estados Unidos,América,Tesla,Sedan,Sí,Automático,No,2799,18119492.07
CX-5,2019,S4561-77,Sudáfrica,África,Mazda,SUV Compacto,No,Automático,No,874,69376053.65
Golf,2021,H7661-48,Argentina,América,Volkswagen,Compacto,No,Manual,No,4687,82548416.64
Golf,2019,O1194-11,México,América,Volkswagen,Compacto,Sí,Automático,No,1080,109025255.18
Tucson,2016,J6536-50,China,Asia,Hyundai,SUV Compacto,Sí,Automático,No,2941,181341518.36
3 Series,2017,D9035-35,Italia,Europa,BMW,Sedan Premium,No,Manual,No,551,98202827.56
Tucson,2018,P7624-46,Brasil,América,Hyundai,SUV Compacto,No,Manual,No,3925,46640738.25
Corolla,2018,Z3671-83,Japón,Asia,Toyota,Compacto,Sí,Manual,No,1494,139306754.3
Tucson,2022,P5238-98,India,Asia,Hyundai,SUV Compacto,Sí,Automático,No,4877,116578419.81
Focus,2019,E3599-23,México,América,Ford,Compacto,Sí,Manual,No,765,150310702.99
Q5,2019,I8993-31,India,Asia,Audi,SUV Premium,Sí,Automático,No,4382,125434773.22
Civic,2016,U3377-90,México,América,Honda,Compacto,No,Manual,No,2072,18055484.35
Tucson,2020,H6450-72,Alemania,Europa,Hyundai,SUV Compacto,No,Manual,No,3398,71805821.95
Camry,2015,Y8672-50,India,Asia,Toyota,Sedan Mediano,No,Automático,No,3367,226853217.59
Silverado,2015,U6538-10,España,Europa,Chevrolet,Pickup Grande,No,Manual,No,2464,152485356.85
Kona,2019,T3946-52,Japón,Asia,Hyundai,SUV Subcompacto,Sí,Manual,No,298,212133313.36
C-Class,2017,W6435-43,España,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,3576,223466762.82
Sprinter,2015,B1455-92,España,Europa,Mercedes-Benz,Comercial,No,Automático,No,340,241168605.73
Cherokee,2016,E1553-67,Estados Unidos,América,Jeep,SUV Mediano,No,Manual,No,834,50223211.94
CX-5,2020,X1905-75,Brasil,América,Mazda,SUV Compacto,No,Manual,No,987,169787567.99
Corolla,2024,B7767-10,Sudáfrica,África,Toyota,Compacto,No,Automático,Sí,3656,72483157.56
C-Class,2018,I4560-87,Australia,Oceanía,Mercedes-Benz,Sedan Premium,Sí,Automático,No,2450,204394428.42
Tucson,2024,A7802-75,Japón,Asia,Hyundai,SUV Compacto,Sí,Manual,Sí,2427,178530661.87
F-150,2023,V8542-30,Canadá,América,Ford,Pickup Grande,No,Automático,Sí,2327,148090056.08
Camry,2018,A2789-91,India,Asia,Toyota,Sedan Mediano,No,Automático,No,2918,50437438.1
Corolla,2024,N8378-33,México,América,Toyota,Compacto,No,Manual,Sí,2147,190972405.95
Silverado,2016,Y9417-73,Australia,Oceanía,Chevrolet,Pickup Grande,No,Manual,No,1569,221369443.62
CR-V,2019,C2643-18,Francia,Europa,Honda,SUV Compacto,No,Automático,No,1230,142924955.59
Civic,2015,S4896-12,Brasil,América,Honda,Compacto,No,Manual,No,973,161571541.75
CX-5,2018,S8188-40,México,América,Mazda,SUV Compacto,No,Automático,No,2639,196677436.95
CX-5,2019,S4989-68,México,América,Mazda,SUV Compacto,No,Manual,No,3604,179638056.64
CR-V,2016,X8915-99,Australia,Oceanía,Honda,SUV Compacto,Sí,Manual,No,4384,185071193.86
F-150,2023,L9714-54,Canadá,América,Ford,Pickup Grande,No,Automático,Sí,3932,144069519.01
Golf,2024,T3947-72,España,Europa,Volkswagen,Compacto,Sí,Manual,No,1855,239966558.4
Fusion,2023,J8533-24,Corea del Sur,Asia,Ford,Sedan,No,Automático,Sí,2379,221487228.91
CR-V,2022,G5599-75,India,Asia,Honda,SUV Compacto,No,Automático,No,1492,54948562.39
Tucson,2021,O3095-84,Australia,Oceanía,Hyundai,SUV Compacto,No,Automático,No,1127,5017199.55
Corolla,2020,Y3941-46,Brasil,América,Toyota,Compacto,No,Manual,No,739,63666039.86
Camry,2023,E5771-33,China,Asia,Toyota,Sedan Mediano,No,Manual,Sí,736,68390291.72
CX-5,2022,X2344-59,Francia,Europa,Mazda,SUV Compacto,No,Manual,No,3869,160721716.83
Cherokee,2021,B7241-11,Sudáfrica,África,Jeep,SUV Mediano,No,Automático,No,1293,148508397.53
Fusion,2018,W6318-21,Italia,Europa,Ford,Sedan,No,Automático,No,4455,161991477.09
RAV4,2018,R6194-14,Japón,Asia,Toyota,SUV Compacto,No,Manual,No,258,180578227.34
3 Series,2023,L9076-87,Canadá,América,BMW,Sedan Premium,No,Automático,Sí,1705,230155832.94
Silverado,2021,P5141-34,Reino Unido,Europa,Chevrolet,Pickup Grande,No,Manual,No,3132,126605426.08
Golf,2018,P6492-55,Alemania,Europa,Volkswagen,Compacto,No,Manual,No,770,147208415.92
Fusion,2016,P8238-71,Brasil,América,Ford,Sedan,No,Automático,No,4491,140328633.25
Civic,2024,W4535-43,Australia,Oceanía,Honda,Compacto,No,Automático,Sí,4151,182889745.89
Q5,2016,T9417-32,Alemania,Europa,Audi,SUV Premium,No,Automático,No,1807,137433044.02
RAV4,2023,V1594-72,Alemania,Europa,Toyota,SUV Compacto,No,Automático,Sí,2245,51985193.39
Corolla,2019,H3436-57,Argentina,América,Toyota,Compacto,No,Automático,No,553,182260247.81
Sprinter,2020,T4921-10,Corea del Sur,Asia,Mercedes-Benz,Comercial,No,Manual,No,2448,237749969.28
Kona,2015,R3047-92,Francia,Europa,Hyundai,SUV Subcompacto,No,Automático,No,3598,156962416.21
CR-V,2024,B4088-76,Corea del Sur,Asia,Honda,SUV Compacto,No,Manual,Sí,799,134033257.63
3 Series,2023,Q2035-60,India,Asia,BMW,Sedan Premium,No,Automático,Sí,3893,112610840.99
Camry,2017,E1116-15,Canadá,América,Toyota,Sedan Mediano,No,Manual,No,1890,183861810.63
RAV4,2019,Q1058-89,China,Asia,Toyota,SUV Compacto,No,Manual,No,4679,164815444.56
Silverado,2017,V4756-85,Reino Unido,Europa,Chevrolet,Pickup Grande,No,Manual,No,357,238890464.7
Sprinter,2021,B3672-74,Japón,Asia,Mercedes-Benz,Comercial,No,Automático,No,3028,187244337.59
Cherokee,2017,J2518-33,Brasil,América,Jeep,SUV Mediano,No,Manual,No,1946,118709827.91
Tucson,2021,R3486-29,Francia,Europa,Hyundai,SUV Compacto,No,Automático,No,4989,179211108.85
C-Class,2021,G2392-65,Estados Unidos,América,Mercedes-Benz,Sedan Premium,No,Manual,No,1721,52599565.6
Tucson,2017,H2039-66,China,Asia,Hyundai,SUV Compacto,No,Manual,No,3232,39247864.78
Golf,2017,H8004-58,Sudáfrica,África,Volkswagen,Compacto,No,Automático,No,292,144786343.97
Tucson,2016,Q2357-62,Reino Unido,Europa,Hyundai,SUV Compacto,No,Automático,No,1102,53823133.37
Golf,2020,A2279-64,Francia,Europa,Volkswagen,Compacto,No,Automático,No,2589,118160667.35
Focus,2023,Y1238-91,Brasil,América,Ford,Compacto,No,Manual,Sí,4061,98262258.17
CR-V,2022,G7586-66,India,Asia,Honda,SUV Compacto,No,Manual,No,4711,40869444.36
C-Class,2018,Y9871-51,Italia,Europa,Mercedes-Benz,Sedan Premium,No,Automático,No,555,71635021.58
Corolla,2020,G1169-28,Reino Unido,Europa,Toyota,Compacto,No,Automático,No,2100,135504777.76
Civic,2019,U3576-17,Corea del Sur,Asia,Honda,Compacto,No,Manual,No,301,5845922.68
Cherokee,2017,U7614-22,Australia,Oceanía,Jeep,SUV Mediano,No,Automático,No,176,6289267.64
Model 3,2020,X2623-15,Corea del Sur,Asia,Tesla,Sedan,Sí,Manual,No,4513,81193333.97
Golf,2021,Y1427-49,Francia,Europa,Volkswagen,Compacto,No,Automático,No,2420,91809296.97
Focus,2015,D2679-10,Argentina,América,Ford,Compacto,No,Manual,No,579,184044874.38
Tucson,2018,J6024-57,China,Asia,Hyundai,SUV Compacto,No,Automático,No,1963,218544738.19
C-Class,2022,C9163-98,Corea del Sur,Asia,Mercedes-Benz,Sedan Premium,No,Manual,No,739,247488058.87
Golf,2015,F4739-24,Argentina,América,Volkswagen,Compacto,No,Automático,No,1201,162957682.62
Civic,2018,E8253-28,Sudáfrica,África,Honda,Compacto,No,Automático,No,4039,89745902.31
Sprinter,2024,P1097-20,India,Asia,Mercedes-Benz,Comercial,No,Manual,No,433,249413828.21
3 Series,2022,J8174-18,Francia,Europa,BMW,Sedan Premium,No,Manual,No,4343,231548563.46
Kona,2019,X6156-25,México,América,Hyundai,SUV Subcompacto,No,Automático,No,789,17823676.84
RAV4,2024,I8285-81,Japón,Asia,Toyota,SUV Compacto,Sí,Automático,Sí,403,71909977.38
CR-V,2017,F5513-81,Brasil,América,Honda,SUV Compacto,No,Manual,No,3564,12936168.43
RAV4,2018,K3428-38,España,Europa,Toyota,SUV Compacto,No,Automático,No,1401,6586926.66
Civic,2016,I6742-13,Italia,Europa,Honda,Compacto,Sí,Manual,No,4532,142777250.43
Camry,2022,S2712-83,China,Asia,Toyota,Sedan Mediano,No,Manual,No,2258,64551510.62
Model 3,2023,Y4686-59,Reino Unido,Europa,Tesla,Sedan,Sí,Automático,Sí,1339,91603695.49
C-Class,2020,D4849-57,Reino Unido,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,1408,68704933.66
Camry,2021,P8041-62,Sudáfrica,África,Toyota,Sedan Mediano,No,Manual,No,2300,93780442.65
Focus,2023,R4890-29,Estados Unidos,América,Ford,Compacto,No,Manual,Sí,1609,64635775.73
